crank_angle,pressure_mpa,description
0,0.0857,进气上止点
10,0.0894,进气
20,0.0833,进气
30,0.0838,进气
40,0.0822,进气
50,0.0818,进气
60,0.0841,进气
70,0.0845,进气
80,0.0834,进气
90,0.0858,进气
100,0.0862,进气
110,0.0855,进气
120,0.0892,进气
130,0.0919,进气
140,0.0903,进气
150,0.0929,进气
160,0.0947,进气
170,0.0928,进气
180,0.0980,进气下止点
190,0.0976,压缩
200,0.0968,压缩
210,0.1033,压缩
220,0.1073,压缩
230,0.1167,压缩
240,0.1308,压缩
250,0.1552,压缩
260,0.1783,压缩
270,0.2191,压缩
280,0.2740,压缩
290,0.3596,压缩
300,0.4990,压缩
310,0.7298,压缩
320,1.1332,压缩
330,1.8783,压缩
340,3.1401,压缩
350,4.6997,压缩
360,6.7025,压缩上止点
370,7.0849,爆发压力峰值
380,5.1156,做功
390,3.5106,做功
400,2.4167,做功
410,1.6797,做功
420,1.2474,做功
430,0.9562,做功
440,0.7655,做功
450,0.6405,做功
460,0.5507,做功
470,0.4842,做功
480,0.4413,做功
490,0.4053,做功
500,0.3800,做功
510,0.3659,做功
520,0.3423,做功
530,0.3150,做功
540,0.2093,排气下止点
550,0.1557,排气
560,0.1379,排气
570,0.1143,排气
580,0.0948,排气
590,0.0821,排气
600,0.0915,排气
610,0.0845,排气
620,0.0888,排气
630,0.0974,排气
640,0.1031,排气
650,0.0946,排气
660,0.0894,排气
670,0.0842,排气
680,0.0854,排气
690,0.0930,排气
700,0.0967,排气
710,0.0936,排气上止点
720,0.0936,排气上止点
